START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-07 12:01:51,2022-05-07 12:04:54,Located_Indoors, In_Conversation, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:00:00,2022-05-07 00:03:03
2022-05-07 12:05:13,2022-05-07 12:05:33,Located_Indoors, In_Conversation, Sync_Marker,annotator,Behavioral Parameters,2022-05-07 00:03:22,2022-05-07 00:03:42
2022-05-07 12:05:33,2022-05-07 12:06:42,Located_Indoors, In_Conversation, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:03:42,2022-05-07 00:04:51
2022-05-07 12:06:42,2022-05-07 12:06:47,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:04:51,2022-05-07 00:04:56
2022-05-07 12:06:47,2022-05-07 12:06:54,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:04:56,2022-05-07 00:05:03
2022-05-07 12:06:54,2022-05-07 12:07:15,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:05:03,2022-05-07 00:05:24
2022-05-07 12:07:15,2022-05-07 12:08:12,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:05:24,2022-05-07 00:06:21
2022-05-07 12:08:12,2022-05-07 12:08:40,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:06:21,2022-05-07 00:06:49
2022-05-07 12:08:40,2022-05-07 12:14:37,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:06:49,2022-05-07 00:12:46
2022-05-07 12:40:35,2022-05-07 12:41:41,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:38:44,2022-05-07 00:39:50
2022-05-07 12:41:41,2022-05-07 12:42:12,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:39:50,2022-05-07 00:40:21
2022-05-07 12:42:12,2022-05-07 12:42:27,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:40:21,2022-05-07 00:40:36
2022-05-07 12:42:27,2022-05-07 12:43:00,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:40:36,2022-05-07 00:41:09
2022-05-07 12:43:00,2022-05-07 12:43:12,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:41:09,2022-05-07 00:41:21
2022-05-07 12:43:12,2022-05-07 12:43:34,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:41:21,2022-05-07 00:41:43
2022-05-07 12:43:34,2022-05-07 12:44:20,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:41:43,2022-05-07 00:42:29
2022-05-07 12:44:20,2022-05-07 12:45:04,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:42:29,2022-05-07 00:43:13
2022-05-07 12:45:04,2022-05-07 12:45:38,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:43:13,2022-05-07 00:43:47
2022-05-07 12:45:38,2022-05-07 12:46:13,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:43:47,2022-05-07 00:44:22
2022-05-07 12:46:13,2022-05-07 12:46:24,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:44:22,2022-05-07 00:44:33
2022-05-07 12:46:24,2022-05-07 12:46:34,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:44:33,2022-05-07 00:44:43
2022-05-07 12:46:34,2022-05-07 12:48:06,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:44:43,2022-05-07 00:46:15
2022-05-07 12:48:06,2022-05-07 12:48:29,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:46:15,2022-05-07 00:46:38
2022-05-07 12:48:29,2022-05-07 12:49:17,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:46:38,2022-05-07 00:47:26
2022-05-07 12:49:17,2022-05-07 12:51:41,Located_Indoors, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:47:26,2022-05-07 00:49:50
2022-05-07 12:51:41,2022-05-07 12:52:24,Located_Indoors, Texting/Browsing_Phone, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:49:50,2022-05-07 00:50:33
2022-05-07 12:52:24,2022-05-07 12:52:36,Located_Indoors, In_Conversation,annotator,Behavioral Parameters,2022-05-07 00:50:33,2022-05-07 00:50:45
2022-05-07 12:52:36,2022-05-07 12:52:41,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:50:45,2022-05-07 00:50:50
2022-05-07 12:52:41,2022-05-07 12:53:04,Located_Indoors,annotator,Behavioral Parameters,2022-05-07 00:50:50,2022-05-07 00:51:13
2022-05-07 12:53:04,2022-05-07 12:54:09,Located_Indoors, Holding_Drink,annotator,Behavioral Parameters,2022-05-07 00:51:13,2022-05-07 00:52:18
2022-05-07 12:54:09,2022-05-07 12:56:58,Located_Indoors, Holding_Drink, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:52:18,2022-05-07 00:55:07
2022-05-07 12:56:58,2022-05-07 12:57:37,Located_Indoors, Holding_Solid_Food,annotator,Behavioral Parameters,2022-05-07 00:55:07,2022-05-07 00:55:46
2022-05-07 12:57:37,2022-05-07 12:58:05,Located_Indoors, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:55:46,2022-05-07 00:56:14
2022-05-07 12:58:05,2022-05-07 12:59:08,Located_Indoors, Holding_Solid_Food,annotator,Behavioral Parameters,2022-05-07 00:56:14,2022-05-07 00:57:17
2022-05-07 12:59:08,2022-05-07 12:59:29,Located_Indoors, Holding_Solid_Food,annotator,Behavioral Parameters,2022-05-07 00:57:17,2022-05-07 00:57:38
2022-05-07 12:59:29,2022-05-07 13:05:20,Located_Indoors, Typing_Computer,annotator,Behavioral Parameters,2022-05-07 00:57:38,2022-05-07 01:03:29
