START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-25 11:52:22,2022-04-25 11:53:46,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:35:46,2022-04-25 01:37:10
2022-04-25 11:53:46,2022-04-25 11:54:00,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:37:10,2022-04-25 01:37:24
2022-04-25 11:54:01,2022-04-25 11:54:22,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:37:25,2022-04-25 01:37:46
2022-04-25 11:54:22,2022-04-25 11:54:42,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:37:46,2022-04-25 01:38:06
2022-04-25 11:54:42,2022-04-25 11:54:48,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:38:06,2022-04-25 01:38:12
2022-04-25 11:54:48,2022-04-25 11:54:58,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 01:38:12,2022-04-25 01:38:22
2022-04-25 11:54:58,2022-04-25 11:55:19,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:38:22,2022-04-25 01:38:43
2022-04-25 11:55:19,2022-04-25 11:55:40,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:38:43,2022-04-25 01:39:04
2022-04-25 11:55:40,2022-04-25 11:55:49,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:39:04,2022-04-25 01:39:13
2022-04-25 11:55:49,2022-04-25 11:56:02,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:39:13,2022-04-25 01:39:26
2022-04-25 11:56:02,2022-04-25 11:56:20,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors, CP_Other, Holding_Drink,annotator,Behavioral Parameters,2022-04-25 01:39:26,2022-04-25 01:39:44
2022-04-25 11:56:20,2022-04-25 11:57:48,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:39:44,2022-04-25 01:41:12
2022-04-25 11:57:48,2022-04-25 11:58:36,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:41:12,2022-04-25 01:42:00
2022-04-25 11:58:36,2022-04-25 12:01:57,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 01:42:00,2022-04-25 01:45:21
2022-04-25 12:01:57,2022-04-25 12:03:01,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 01:45:21,2022-04-25 01:46:25
2022-04-25 12:03:01,2022-04-25 12:03:43,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:46:25,2022-04-25 01:47:07
2022-04-25 12:03:48,2022-04-25 12:04:39,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 01:47:12,2022-04-25 01:48:03
2022-04-25 12:04:39,2022-04-25 12:10:44,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:48:03,2022-04-25 01:54:08
2022-04-25 12:10:44,2022-04-25 12:12:28,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 01:54:08,2022-04-25 01:55:52
2022-04-25 12:12:28,2022-04-25 12:13:43,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:55:52,2022-04-25 01:57:07
2022-04-25 12:13:43,2022-04-25 12:16:14,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 01:57:07,2022-04-25 01:59:38
2022-04-25 12:16:14,2022-04-25 12:18:03,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 01:59:38,2022-04-25 02:01:27
2022-04-25 12:18:03,2022-04-25 12:21:09,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:01:27,2022-04-25 02:04:33
2022-04-25 12:21:09,2022-04-25 12:21:53,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:04:33,2022-04-25 02:05:17
2022-04-25 12:21:53,2022-04-25 12:22:40,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:05:17,2022-04-25 02:06:04
2022-04-25 12:22:40,2022-04-25 12:24:28,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:06:04,2022-04-25 02:07:52
2022-04-25 12:24:28,2022-04-25 12:25:32,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:07:52,2022-04-25 02:08:56
2022-04-25 12:25:32,2022-04-25 12:28:50,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:08:56,2022-04-25 02:12:14
2022-04-25 12:28:50,2022-04-25 12:29:43,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:12:14,2022-04-25 02:13:07
2022-04-25 12:29:43,2022-04-25 12:32:27,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:13:07,2022-04-25 02:15:51
2022-04-25 12:32:27,2022-04-25 12:33:29,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:15:51,2022-04-25 02:16:53
2022-04-25 12:33:29,2022-04-25 12:43:28,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:16:53,2022-04-25 02:26:52
2022-04-25 12:43:28,2022-04-25 12:45:42,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 02:26:52,2022-04-25 02:29:06
2022-04-25 12:45:42,2022-04-25 12:50:07,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:29:06,2022-04-25 02:33:31
2022-04-25 12:50:07,2022-04-25 12:55:10,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:33:31,2022-04-25 02:38:34
2022-04-25 12:55:10,2022-04-25 12:58:16,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:38:34,2022-04-25 02:41:40
2022-04-25 12:58:16,2022-04-25 13:02:04,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:41:40,2022-04-25 02:45:28
2022-04-25 13:02:04,2022-04-25 13:09:21,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:45:28,2022-04-25 02:52:45
2022-04-25 13:09:21,2022-04-25 13:10:46,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 02:52:45,2022-04-25 02:54:10
2022-04-25 13:10:46,2022-04-25 13:15:02,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:54:10,2022-04-25 02:58:26
2022-04-25 13:15:02,2022-04-25 13:15:27,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-25 02:58:26,2022-04-25 02:58:51
2022-04-25 13:15:27,2022-04-25 13:20:19,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 02:58:51,2022-04-25 03:03:43
2022-04-25 13:20:19,2022-04-25 13:20:30,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 03:03:43,2022-04-25 03:03:54
2022-04-25 13:20:30,2022-04-25 13:22:38,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:03:54,2022-04-25 03:06:02
2022-04-25 13:22:38,2022-04-25 13:22:56,Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 03:06:02,2022-04-25 03:06:20
2022-04-25 13:22:56,2022-04-25 13:23:41,Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-25 03:06:20,2022-04-25 03:07:05
2022-04-25 13:23:42,2022-04-25 13:24:00,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 03:07:06,2022-04-25 03:07:24
2022-04-25 13:24:00,2022-04-25 13:25:08,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light, CP_Other,annotator,Behavioral Parameters,2022-04-25 03:07:24,2022-04-25 03:08:32
2022-04-25 13:25:08,2022-04-25 13:25:34,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 03:08:32,2022-04-25 03:08:58
2022-04-25 13:25:34,2022-04-25 13:25:49,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 03:08:58,2022-04-25 03:09:13
2022-04-25 13:25:49,2022-04-25 13:26:43,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 03:09:13,2022-04-25 03:10:07
2022-04-25 13:26:43,2022-04-25 13:27:04,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters,2022-04-25 03:10:07,2022-04-25 03:10:28
2022-04-25 13:27:04,2022-04-25 13:27:15,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 03:10:28,2022-04-25 03:10:39
2022-04-25 13:27:15,2022-04-25 13:27:30,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 03:10:39,2022-04-25 03:10:54
2022-04-25 13:27:30,2022-04-25 13:28:32,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 03:10:54,2022-04-25 03:11:56
2022-04-25 13:28:32,2022-04-25 13:28:39,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 03:11:56,2022-04-25 03:12:03
2022-04-25 13:28:41,2022-04-25 13:30:18,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 03:12:05,2022-04-25 03:13:42
2022-04-25 13:30:18,2022-04-25 13:30:23,Carrying_Bag_On_Shoulder/Back_Light, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 03:13:42,2022-04-25 03:13:47
2022-04-25 13:30:23,2022-04-25 13:30:39,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:13:47,2022-04-25 03:14:03
2022-04-25 13:30:39,2022-04-25 13:30:56,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:14:03,2022-04-25 03:14:20
2022-04-25 13:30:56,2022-04-25 13:31:17,Carrying_Bag_On_Shoulder/Back_Light, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:14:20,2022-04-25 03:14:41
2022-04-25 13:31:17,2022-04-25 13:40:55,Located_Indoors, CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-25 03:14:41,2022-04-25 03:24:19
2022-04-25 13:40:55,2022-04-25 13:43:20,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 03:24:19,2022-04-25 03:26:44
2022-04-25 13:43:20,2022-04-25 13:46:24,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:26:44,2022-04-25 03:29:48
2022-04-25 13:46:24,2022-04-25 13:52:23,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 03:29:48,2022-04-25 03:35:47
2022-04-25 13:52:23,2022-04-25 13:55:19,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:35:47,2022-04-25 03:38:43
2022-04-25 13:55:19,2022-04-25 13:57:14,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:38:43,2022-04-25 03:40:38
2022-04-25 13:57:14,2022-04-25 13:57:30,Located_Indoors, Typing_Computer,annotator,Behavioral Parameters,2022-04-25 03:40:38,2022-04-25 03:40:54
2022-04-25 13:57:30,2022-04-25 14:01:57,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 03:40:54,2022-04-25 03:45:21
2022-04-25 14:01:57,2022-04-25 14:07:45,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 03:45:21,2022-04-25 03:51:09
2022-04-25 14:07:46,2022-04-25 14:20:00,Located_Indoors,annotator,Behavioral Parameters,2022-04-25 03:51:10,2022-04-25 04:03:24
2022-04-25 14:20:00,2022-04-25 14:29:12,Located_Indoors, Browsing_Computer,annotator,Behavioral Parameters,2022-04-25 04:03:24,2022-04-25 04:12:36
2022-04-25 14:29:12,2022-04-25 14:29:57,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Heavy,annotator,Behavioral Parameters,2022-04-25 04:12:36,2022-04-25 04:13:21
2022-04-25 14:29:57,2022-04-25 14:30:11,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Heavy,annotator,Behavioral Parameters,2022-04-25 04:13:21,2022-04-25 04:13:35
2022-04-25 14:30:11,2022-04-25 14:30:40,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Heavy,annotator,Behavioral Parameters,2022-04-25 04:13:35,2022-04-25 04:14:04
2022-04-25 14:30:40,2022-04-25 14:30:43,Located_Indoors, Carrying_Bag_On_Shoulder/Back_Heavy,annotator,Behavioral Parameters,2022-04-25 04:14:04,2022-04-25 04:14:07
2022-04-25 14:30:43,2022-04-25 14:30:50,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 04:14:07,2022-04-25 04:14:14
2022-04-25 14:30:50,2022-04-25 14:32:35,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 04:14:14,2022-04-25 04:15:59
2022-04-25 14:32:35,2022-04-25 14:33:24,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Outdoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 04:15:59,2022-04-25 04:16:48
2022-04-25 14:33:24,2022-04-25 14:33:31,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Outdoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 04:16:48,2022-04-25 04:16:55
2022-04-25 14:33:31,2022-04-25 14:33:38,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Outdoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 04:16:55,2022-04-25 04:17:02
2022-04-25 14:33:40,2022-04-25 14:34:12,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Outdoors,annotator,Behavioral Parameters,2022-04-25 04:17:04,2022-04-25 04:17:36
2022-04-25 14:34:12,2022-04-25 14:34:36,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:17:36,2022-04-25 04:18:00
2022-04-25 14:34:36,2022-04-25 14:35:16,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors, CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters,2022-04-25 04:18:00,2022-04-25 04:18:40
2022-04-25 14:35:16,2022-04-25 14:35:27,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:18:40,2022-04-25 04:18:51
2022-04-25 14:35:27,2022-04-25 14:35:55,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:18:51,2022-04-25 04:19:19
2022-04-25 14:35:55,2022-04-25 14:36:09,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:19:19,2022-04-25 04:19:33
2022-04-25 14:36:09,2022-04-25 14:37:05,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-25 04:19:33,2022-04-25 04:20:29
2022-04-25 14:37:05,2022-04-25 14:37:18,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors, Holding_Other_Object_Light,annotator,Behavioral Parameters,2022-04-25 04:20:29,2022-04-25 04:20:42
2022-04-25 14:37:18,2022-04-25 14:37:32,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:20:42,2022-04-25 04:20:56
2022-04-25 14:37:32,2022-04-25 14:37:50,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:20:56,2022-04-25 04:21:14
2022-04-25 14:37:50,2022-04-25 14:38:01,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors,annotator,Behavioral Parameters,2022-04-25 04:21:14,2022-04-25 04:21:25
2022-04-25 14:38:01,2022-04-25 14:38:05,Carrying_Bag_On_Shoulder/Back_Heavy, Located_Indoors, Texting/Browsing_Phone,annotator,Behavioral Parameters,2022-04-25 04:21:25,2022-04-25 04:21:29
